Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Equitable placement in rigorous coursework,"Differences in the participation rates for students from key demographic subgroups in rigorous courses and programs relative to those students’ representation in their school population as a whole, including opportunities, such as the following: 
•        Gifted and talented programs
•        Algebra I in middle school
•        Higher-level math courses in high school (that is, Algebra II, calculus)
•        Early college courses (AP, IB, and dual enrollment)","Early college course enrollment (AP, IB, and dual enrollment)",Found,"StudentSectionAssociation.Section.CourseOffering.Course.CourseTitle, StudentSectionAssociation.StudentUSI, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"
SELECT  
    'Number of Students who took AP, IB, and dual enrollment' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('09', '10', '11', '12')
and s.ScedCourseCode in ('02056','02121')
AND s.ScedCourseSubjectAreaCode in ('02')
--CourseSectionEnrollmentStatusType='Completed' --missing in CEDS DWH","
SELECT  
    'Number of Students who took AP, IB, and dual enrollment' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('09', '10', '11', '12')
and s.ScedCourseCode in ('02056','02121')
AND s.ScedCourseSubjectAreaCode in ('02')
--CourseSectionEnrollmentStatusType='Completed' --missing in CEDS DWH",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to college and career advising,Ratio of number of students to number of Full-time equivalent (FTE) counselors,Staff type or role description,Found,StaffEducationOrganizationAssignmentAssociation.StaffClassification,Not Found,N/A,N/A,,,,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to college and career advising,Ratio of number of students to number of Full-time equivalent (FTE) counselors,Staff FTE status,Found,StaffEducationOrganizationAssignmentAssociationFullTimeEquivalency,Found,N/A,FactK12StaffEmployments.FullTimeEquivalency,,,,,,No CEDS Connect found,"select
    'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffEmployments f 
join RDS.DimPeople_Current d
    on d.DimPersonId = f.K12Staff_CurrentId
where f.FullTimeEquivalency = 1.0",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to college and career advising,Percentage of students using academic advising and career counseling services,Advising and counseling service utilization,Not Found,N/A,Not Found,N/A,N/A,,,,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PK,"Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",No specific measures or tools recommended by framework,Not Found,N/A,,,,,,,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,"Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",No specific measures or tools recommended by framework,Not Found,N/A,Not Found,N/A,N/A,,,,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,"Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",No specific measures or tools recommended by framework,Not Found,N/A,Not Found,N/A,N/A,,,,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,FAFSA completion,Percentage of grade 12 students who complete the FAFSA by June 30,Student grade level,Found,StudentSchoolAssociation.EntryGradeLevel,Found,FactK12Enrollments.EntryGradeId,FactK12Enrollments.EntryGradeId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Students (Grade 12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('12')","select
        'Number of Students (Grade 12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('12')",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,FAFSA completion,Percentage of grade 12 students who complete the FAFSA by June 30,FAFSA completion date,Not Found,N/A,,,,,Automated,Available,"Alabama publishes the FAFSA Completion 2024-25 dashboard, showing the percentage of the cohort completing FAFSA. The ALSDE Data Code Manual also includes a data element entitled FAFSA Waiver (https://www.livebinders.com/b/2767891). Students with no waiver are required to submit a FAFSA application.  The Federal Student Aid website includes downloadable reports by state and school (linked here) of FAFSA completions by month (including by June 30) (https://studentaid.gov/data-center/student/application-volume/fafsa-completion-high-school)",,"""Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator""","""Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator""",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,PS,FAFSA completion,Percentage of grade 12 students who complete the FAFSA by June 30,Student grade level,Not Found,N/A,,,,ALSDE Data Code Manual,Automated,Available,,,"Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator","Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,PS,FAFSA completion,Percentage of grade 12 students who complete the FAFSA by June 30,FAFSA completion date,Not Found,N/A,,,,,Automated,Available,"Alabama publishes the FAFSA Completion 2024-25 dashboard, showing the percentage of the cohort completing FAFSA. The ALSDE Data Code Manual also includes a data element entitled FAFSA Waiver (https://www.livebinders.com/b/2767891). Students with no waiver are required to submit a FAFSA application.  The Federal Student Aid website includes downloadable reports by state and school (linked here) of FAFSA completions by month (including by June 30) (https://studentaid.gov/data-center/student/application-volume/fafsa-completion-high-school)",,"Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator","Missing: Financial Aid Applicant
Financial Aid Application Type
Financial Aid Year Designator",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,College applications,Percentage of grade 12 students who submitted at least three college applications,Student grade level,Found,StudentSchoolAssociation.EntryGradeLevel,Found,FactK12Enrollments.EntryGradeId,FactK12Enrollments.EntryGradeId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Students (Grade 12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('12')","select
        'Number of Students (Grade 12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('12')",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,College applications,Percentage of grade 12 students who submitted at least three college applications,Postsecondary applications submitted,Not Found,N/A,Not Found,N/A,N/A,,Manual,Not Available,,,"CEDS DWH does not contain elements:Postsecondary Applicant ,Application Date and no appropriate table to indicate the student submitted College application","CEDS DWH does not contain elements:Postsecondary Applicant ,Application Date and no appropriate table to indicate the student submitted College application",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,E-W System Conditions,K12,Access to college and career advising,Ratio of number of students to number of Full-time equivalent (FTE) counselors,Staff type or role description,Found,StaffEducationOrganizationAssignmentAssociation.StaffClassification,Not Found,N/A,N/A,ALSDE Data Code Manual,Automated,Available,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,E-W System Conditions,K12,Access to college and career advising,Ratio of number of students to number of Full-time equivalent (FTE) counselors,Staff FTE status,Found,staffEducationOrganizationEmploymentAssociation.FullTimeEquivalency,Found,N/A,FactK12StaffEmployments.FullTimeEquivalency,ALSDE Data Code Manual,Automated,Available,,,"select
    'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffEmployments f 
join RDS.DimPeople_Current d
    on d.DimPersonId = f.K12Staff_CurrentId
where f.FullTimeEquivalency = 1.0",No CEDS Connect found,,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,E-W System Conditions,PS,Access to college and career advising,Percentage of students using academic advising and career counseling services,Advising and counseling service utilization,Not Found,N/A,Not Found,N/A,N/A,,Manual,Not Available,,,No CEDS Connect found,No CEDS Connect found,,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,SAT and ACT participation and performance,Percentage of grade 11–12 students who take the SAT/ACT,Student grade level,Found,StudentSchoolAssociation.EntryGradeLevel,Found,FactK12Enrollments.EntryGradeId,FactK12Enrollments.EntryGradeId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Students' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('11', '12')","select
        'Number of Students' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('11', '12')",,,,,,,
13. Are students taking the necessary steps to apply to college after high school with sufficient counseling support?,Academic Progress & Completion,Outcomes & Milestones,K12,SAT and ACT participation and performance,Percentage of grade 11–12 students who take the SAT/ACT,SAT completion,Found,"Assessment.AssessmentTitle, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentResultScoreValueSATScore,FactK12StudentAssessments.AssessmentResultScoreValueSATScore,,Automated,Available,The College Board reports on SAT participation rates and scores by graduating class and by state (linked here).,,"select  
        'Count of Students completed SAT (Grade 11-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId  
                                --join RDS.DimAssessmentResults ar
                where  ase.AssessmentResultScoreValueSATScore is not null
                        and da.AssessmentTypeCode = 'AchievementTest' 
                        and s.AssessmentLevelForWhichDesigned in ( '11', '12')
                                                --and ar.AssessmentScoreMetricType = 03481 --CEDS DWH missing AssessmentScoreMetricType","select  
        'Count of Students completed SAT (Grade 11-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId  
                where  ase.AssessmentResultScoreValueSATScore is not null
                        and da.AssessmentTypeCode = 'AchievementTest' 
                        and s.AssessmentLevelForWhichDesigned in ( '11', '12')",,,,,,,
